Epoch,Train_Loss,Test_Loss
1,4.5337938347406554,1.0275527061077587
2,1.0763770394157945,1.0773994859896208
3,1.089848728556382,1.0332183388241551
4,1.078817789753278,0.9913064879283571
5,1.070964094839598,0.9866380722899186
6,1.0526611289957113,0.9754724617589984
7,1.068327806497875,0.9713659772747442
8,1.0517052517909753,0.9683446413592288
9,1.050395862052315,1.0456146880200035
10,1.0487693327299334,0.9540800860053614
11,1.0474285078153276,1.084416008832162
12,1.0458895877787941,0.9554140055388735
13,1.0356139445252586,0.9879885765544155
14,1.0509988278673406,0.9405893746175265
15,1.02385019955405,0.9396454754628634
16,1.0297536822526079,1.0571304455138089
17,1.0168107324524929,0.9423483097762392
18,1.0368724154275761,0.9803724132086101
19,1.0195432504018147,0.9405328558202375
20,1.010336959832593,0.9303695747726842
21,1.0117267090500446,0.97073184084474
22,1.012905176271472,0.9625048438707987
23,1.0189268334131492,1.0374896772075117
24,1.0150829835941917,0.9246133843012023
25,1.0177086206120358,1.0802076511215746
26,0.9983354776836278,0.9207145399168918
27,1.0314011346352727,0.9679847903418959
28,1.0061191380546803,0.936753673511639
29,0.9997666101706656,0.9495422861032319
30,1.0090436800791507,0.9210433620109892
31,0.9983655271822947,0.9185914669120521
32,1.002987567792859,0.9313034070165533
33,0.9879774525761604,0.9204135631260119
34,1.000617769203688,0.9325345095835234
35,1.0025418453049242,0.9259973137002242
36,0.9967188099235819,0.9170274347589727
37,0.9996092641039899,0.9124222491916857
38,0.9899878989447627,0.9121033371540538
39,1.0155303795870982,0.9116559656042802
40,0.9933991615186658,0.9358171810183609
41,0.9965167357994799,0.9205903264514187
42,0.9929303724253387,0.9114940992572851
43,1.0001488691359235,0.9111461262953909
44,0.9862702681045783,0.9085666882364374
45,0.9906448882661367,0.9206750973274833
46,0.9935310814987149,0.9401229546781171
47,0.9944372766634875,0.905775084830167
48,0.9907730958963695,0.9837551310397031
49,0.9883902968283285,0.9102809721963447
50,0.9891726230843025,0.9094090273505763
51,0.9874627232028726,0.9006156293969405
52,0.9848505248103225,0.9075225607344979
53,0.9678453775612932,0.9004850052950675
54,0.985302385008126,0.902195608929584
55,0.9898732720237029,0.898286991997769
56,0.9868365093542818,0.9088030002619091
57,0.9798641153856328,0.951085546037607
58,0.9912502470246533,0.9136800049689778
59,0.9795335647568368,0.9179692718020657
60,0.9687165638856721,0.9215638742112277
61,0.9739192614429876,0.9534841828178942
62,0.9788637084134838,0.9000771652188218
63,0.9701512469011441,0.951211789198089
64,0.9730666973873189,0.8939544861776787
65,0.9756358196599442,0.8941846594475863
66,0.9733194202968949,0.8947638932027315
67,0.9684125177170101,0.9272868340475517
68,0.9708851659507082,0.8925608396530151
69,0.962727423038399,0.9085823140646282
70,0.9691020456845301,0.8897628595954493
71,0.9655332045074094,0.8908097764901948
72,0.9724478896772653,0.8933020662843135
73,0.9711244757238188,0.8955613573392233
74,0.9638748627744222,0.8886058591959769
75,0.9600075518614367,0.9106450933113432
76,0.9684839193758211,0.8885004802754051
77,0.9619439155386206,0.9254351760211744
78,0.9773728652742871,0.8865221414649695
79,0.9723959050157613,0.8870791144538344
80,0.9756201402398578,0.8946931105956697
81,0.9551409560075977,0.9228617758081671
82,0.9564267054461596,0.8828214783417551
83,0.9574280498843444,0.8884684317990353
84,0.9548663187183832,0.8866868353726571
85,0.9706602137078318,0.9802306095759074
86,0.9574811534400571,0.8843709805555511
87,0.9504910480034979,0.8828360741598564
88,0.944662573567608,0.9096836562742266
89,0.9539368011449513,0.8878507520023146
90,0.9509776616305635,0.8864843646685282
91,0.9630885758159453,0.8867995069738019
92,0.9568370596358651,0.9659208529873898
93,0.9538979261067876,0.9061170073977688
94,0.9503818015780365,0.9201409931768451
95,0.9505773713452774,0.8900684128727829
96,0.9516527865800941,0.8837117542300308
97,0.9577967902286011,0.8883832306192633
98,0.9614553081623295,0.8833328715541906
99,0.9508945288365347,0.8798424282617736
100,0.9465294712991045,0.8790533500805235
